"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1808","C8orf37",8.90370082360047,8.67217969552789e-09,2.01071777011355e-08,"+"
"1809","STT3B",-8.81928729192323,8.79368350228369e-09,2.03776236824617e-08,"-"
"1810","PCMTD2",9.10620558300848,9.10975816201961e-09,2.10984012238598e-08,"+"
"1811","FAM117B",-9.07590179126356,9.14283789445783e-09,2.11633221720415e-08,"-"
"1812","UNQ6494",8.95600692622726,9.218901464278e-09,2.13276131005813e-08,"+"
"1813","NGEF",-8.96594091924832,9.85520843746339e-09,2.27871118421658e-08,"-"
"1814","S100P",8.99990989703579,9.95991873445304e-09,2.30165266454394e-08,"+"
"1815","WIPI2",9.22520492627152,1.06249781386213e-08,2.45398944116256e-08,"+"
"1816","LAMA4",-8.65126460949186,1.21846576124118e-08,2.81266986295321e-08,"-"
"1817","SYTL3",-9.09691534331692,1.2576929720517e-08,2.90162297129374e-08,"-"
"1818","ARHGAP23",8.76805813683614,1.27903675590165e-08,2.94924206861371e-08,"+"
"1819","RAPGEF3",9.29436435077002,1.309175068106e-08,3.01707635266649e-08,"+"
"1820","GNG2",-9.18699929634746,1.35395137460899e-08,3.11855173756093e-08,"-"
"1821","DEF6",-7.82652550065804,1.42368436646475e-08,3.27736675684802e-08,"-"
"1822","CD151",9.26447721052305,1.4495650657418e-08,3.33511347727203e-08,"+"
"1823","MIR346",-8.65126531936928,1.50302424277216e-08,3.45621372775694e-08,"-"
"1824","LCP1",-8.81950465574024,1.52722259183435e-08,3.50993262333859e-08,"-"
"1825","AHDC1",8.50879926715435,1.6604023195052e-08,3.81392138266619e-08,"+"
"1826","SLC4A10",-8.62065151526703,1.73740463543436e-08,3.98860910829182e-08,"-"
"1827","ING1",9.22501363997549,1.74121847145948e-08,3.9951767007981e-08,"+"
"1828","LOC100129434",8.39460314163255,1.75561968371255e-08,4.02601625499071e-08,"+"
"1829","CHRNB2",8.43696488166529,1.78115877098186e-08,4.08234968176926e-08,"+"
"1830","EPHA6",-8.65124544470682,1.79624683085173e-08,4.11468126498932e-08,"-"
"1831","KCNA2",9.23212353567527,1.82531057873708e-08,4.17897430151057e-08,"+"
"1832","MIR4300",-8.81948295325749,1.91237365496007e-08,4.37591176942828e-08,"-"
"1833","MIR4464",8.39455566729999,1.95857714271202e-08,4.47674775477034e-08,"+"
"1834","STARD5",8.39455566729999,1.95857714271202e-08,4.47674775477034e-08,"+"
"1835","FAS",-9.18699334151784,1.96387293329725e-08,4.48640617786488e-08,"-"
"1836","INPP5A",8.40192039965966,1.97006003729045e-08,4.49808914832329e-08,"+"
"1837","TMEM178B",-8.46763400058455,2.02130308893821e-08,4.61257623779476e-08,"-"
"1838","AKIRIN1",-8.72094061019209,2.08284608763172e-08,4.75043024991957e-08,"-"
"1839","ZXDA",8.8104645370074,2.08884927907166e-08,4.7615313637131e-08,"+"
"1840","NR1D1",-8.8191640289958,2.11218864687957e-08,4.81211674332563e-08,"-"
"1841","NR5A2",-8.65136421394465,2.18023597530496e-08,4.96444823926039e-08,"-"
"1842","ZNF586",8.76799533505833,2.21749043831312e-08,5.04653632866917e-08,"+"
"1843","UNC5C",-8.35354830756192,2.29540657202589e-08,5.22102243620864e-08,"-"
"1844","NAA16",8.97555810303039,2.3496503593399e-08,5.34150450452975e-08,"+"
"1845","ITM2C",9.16911863523558,2.37507179298176e-08,5.39636908194013e-08,"+"
"1846","POLR2E",-9.07539435214492,2.42548669581519e-08,5.5079307848631e-08,"-"
"1847","FAM171A1",-8.72090957686205,2.45472150753434e-08,5.57130079024578e-08,"-"
"1848","FAM19A2",-8.65123282041572,2.51709869945644e-08,5.70978233123452e-08,"-"
"1849","GNPTG",8.50875210180127,2.52211621368666e-08,5.71497900960783e-08,"+"
"1850","CCDC102A",8.50875210180127,2.52211621368666e-08,5.71497900960783e-08,"+"
"1851","CDK13",-8.65121071210232,2.81731811125095e-08,6.38044166524255e-08,"-"
"1852","PCSK1N",-8.81943781336704,2.89649851934117e-08,6.55622127056057e-08,"-"
"1853","TPTE2P6",8.94441981599946,2.90548071358706e-08,6.57300331967457e-08,"+"
"1854","SUSD6",8.50872044486823,2.9246129624431e-08,6.6127171189652e-08,"+"
"1855","RAD51B",-8.73551799708716,2.95813277021616e-08,6.68490165646693e-08,"-"
"1856","HRH4",-8.81946852321785,2.98419976271321e-08,6.74017532612812e-08,"-"
"1857","LINC01993",8.90078735820477,3.13346098820678e-08,7.07348867127777e-08,"+"
"1858","GJD4",-8.65120254249011,3.24412073049389e-08,7.31935096998405e-08,"-"
"1859","JAML",-9.07553635039389,3.24926765061794e-08,7.32701989854245e-08,"-"
"1860","PROX1",8.39449963691691,3.29250529117944e-08,7.42052805409904e-08,"+"
"1861","SUN1",-9.47295467340711,3.31176478897709e-08,7.45992369446103e-08,"-"
"1862","LINC00334",-8.65118216414335,3.36208482005699e-08,7.56920492249135e-08,"-"
"1863","ACP6",-9.4510377210704,3.4876228700757e-08,7.84761946932761e-08,"-"
"1864","NBEAL2",8.44024936340396,3.49441816741005e-08,7.8586915009565e-08,"+"
"1865","BBX",8.3944837979441,3.49644652677984e-08,7.85903691166814e-08,"+"
"1866","HLCS",-8.3535929157423,3.50172195546376e-08,7.86667654732265e-08,"-"
"1867","LANCL2",-8.65119567680964,3.52457669849123e-08,7.91377906806386e-08,"-"
"1868","SERPINH1",8.50880502504357,3.54229170985198e-08,7.94929702767638e-08,"+"
"1869","SREBF1",8.76793695140697,3.64723552646683e-08,8.18042339590634e-08,"+"
"1870","FAM9A",-8.81943376695168,3.77939889659264e-08,8.47232094893921e-08,"-"
"1871","CDH1",8.50869206280248,3.79198836035079e-08,8.49599957594361e-08,"+"
"1872","MIR4499",8.84093049359755,3.84063965574057e-08,8.6004067504618e-08,"+"
"1873","LOC101927708",9.06232067755066,3.8566000563666e-08,8.62693032886274e-08,"+"
"1874","SLC2A4RG",9.06232067755066,3.8566000563666e-08,8.62693032886274e-08,"+"
"1875","ARHGEF7-AS1",-8.96586898633597,3.87923313891547e-08,8.67293083644462e-08,"-"
"1876","CLEC2D",-8.35377030013733,3.98505297432754e-08,8.9047665609707e-08,"-"
"1877","EEPD1",-8.65117500894715,4.32064729421164e-08,9.64952235340182e-08,"-"
"1878","LINC01981",-8.35357299344329,4.33599101842156e-08,9.67863383877698e-08,"-"
"1879","TFPI",-8.35361220881067,4.51798198761342e-08,1.00794999957826e-07,"-"
"1880","CPS1-IT1",8.39441880893243,4.63870146256363e-08,1.03433173037589e-07,"+"
"1881","TLE2",8.39443667244702,4.6676951489706e-08,1.04024338460844e-07,"+"
"1882","MRPS7",-8.30173898838856,4.75641095160558e-08,1.0594513660537e-07,"-"
"1883","FNDC9",-8.35356028655081,4.8867329402167e-08,1.0879014596595e-07,"-"
"1884","PHF20",-8.4035420712475,4.89589118052887e-08,1.08936177435122e-07,"-"
"1885","GRB2",-8.46762291826771,4.9465031704327e-08,1.10003932575352e-07,"-"
"1886","RASGRP2",8.39452287678943,5.07912158882761e-08,1.12893307000877e-07,"+"
"1887","CEP85L",-8.7165193610261,5.19122210789314e-08,1.15323810685151e-07,"-"
"1888","PFDN1",8.9758392074072,5.3760354740687e-08,1.1936621137339e-07,"+"
"1889","POMGNT2",-8.65116621299678,5.38689168056475e-08,1.19543938194428e-07,"-"
"1890","CMSS1",-8.05406945071937,5.47111780696776e-08,1.2134881400428e-07,"-"
"1891","ZBP1",8.50864727442779,5.85252620154393e-08,1.29739766456225e-07,"+"
"1892","TNFSF13B",-8.3536058126844,5.90467796901264e-08,1.30826691575587e-07,"-"
"1893","COL6A3",-8.05381197949299,6.48765933782157e-08,1.43591699810708e-07,"-"
"1894","TTC21A",-8.05381197949299,6.48765933782157e-08,1.43591699810708e-07,"-"
"1895","DNMT3A",-8.65116646712615,6.54286957588213e-08,1.44737252042733e-07,"-"
"1896","LINC02367",-8.35349294411995,6.74273981699283e-08,1.49079985827183e-07,"-"
