"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"146","WASF3",-10.1380596002103,1.64040841497526e-16,1.29064188101512e-14,"-"
"147","AKAP9",-10.9323262523246,1.71652139197068e-16,1.34133885915423e-14,"-"
"148","MMAB",10.1035393814098,1.76692019155705e-16,1.37139271894701e-14,"+"
"149","RNF215",-12.14338852372,1.82045174194534e-16,1.40345833286752e-14,"-"
"150","MYO7A",10.0464188691894,1.94870273851035e-16,1.49231655715122e-14,"+"
"151","VAV3-AS1",-10.0145733715322,2.31110872509154e-16,1.66966703931614e-14,"-"
"152","INAVA",-10.0388956493283,2.26281077700414e-16,1.66966703931614e-14,"-"
"153","LOC101927907",-10.042382399468,2.23455536949424e-16,1.66966703931614e-14,"-"
"154","LINC01017",-10.0145733715322,2.31110872509154e-16,1.66966703931614e-14,"-"
"155","PSMB1",-10.0271266461149,2.23792912815028e-16,1.66966703931614e-14,"-"
"156","POU6F2-AS1",-10.0162031964023,2.29682038855053e-16,1.66966703931614e-14,"-"
"157","OTOG",-10.0162031964023,2.29682038855053e-16,1.66966703931614e-14,"-"
"158","METTL3",-10.0145733715322,2.31110872509154e-16,1.66966703931614e-14,"-"
"159","GTSE1-DT",-10.0162031964023,2.29682038855053e-16,1.66966703931614e-14,"-"
"160","EGOT",-10.0170152750789,2.38989626133765e-16,1.7157961471241e-14,"-"
"161","LOC440982",-10.0291759731503,2.54217063435358e-16,1.81378348303227e-14,"-"
"162","LYL1",-11.1295473949347,2.59424410264315e-16,1.83951123500382e-14,"-"
"163","WDCP",-11.0809687725479,2.72105420678226e-16,1.91759200449742e-14,"-"
"164","MSC",-11.5040830635632,2.75711454062208e-16,1.93115699561743e-14,"-"
"165","LINC00619",-9.9833435408691,2.86861165102063e-16,1.99707527486509e-14,"-"
"166","NUP210",-13.0767051476157,2.98069610718136e-16,2.050254861269e-14,"-"
"167","SLC25A4",11.081943585205,2.97131565360557e-16,2.050254861269e-14,"+"
"168","MIR551A",9.9052196586589,3.19062153464755e-16,2.18158747431526e-14,"+"
"169","EAF2",11.4211722532857,3.25765987817304e-16,2.21424491245998e-14,"+"
"170","RARA",-11.7566474432027,3.37253981713302e-16,2.27884499290629e-14,"-"
"171","KDM7A-DT",11.7066623935388,3.75269380533449e-16,2.5208885229168e-14,"+"
"172","LINC01566",-9.89020353326637,3.87198384812791e-16,2.58589991066543e-14,"-"
"173","SRSF3",-11.0421076711508,4.01333761566449e-16,2.66480977983457e-14,"-"
"174","EPAS1",-12.820404691171,4.11427292200486e-16,2.71612948592355e-14,"-"
"175","LINC01648",-9.82396767902005,4.74300544980806e-16,3.01324220896506e-14,"-"
"176","FOXK1",-9.82220769497702,4.77418022139498e-16,3.01324220896506e-14,"-"
"177","FAM13C",-9.82396767902005,4.74300544980806e-16,3.01324220896506e-14,"-"
"178","PWP1",-9.82220769497702,4.77418022139498e-16,3.01324220896506e-14,"-"
"179","IDH3A",-9.82220769497702,4.77418022139498e-16,3.01324220896506e-14,"-"
"180","PDE8A",-9.82396767902005,4.74300544980806e-16,3.01324220896506e-14,"-"
"181","GNPTG",9.80462815810153,4.6920323125219e-16,3.01324220896506e-14,"+"
"182","LINC00324",-11.6713186276359,4.6010371847099e-16,3.01324220896506e-14,"-"
"183","LINC01299",-9.80976691948236,4.91834916279425e-16,3.08727195808839e-14,"-"
"184","LINC00431",-9.83258548872862,4.98147648396558e-16,3.09309299304393e-14,"-"
"185","FOXN3",-9.83258548872862,4.98147648396558e-16,3.09309299304393e-14,"-"
"186","ARHGAP18",-12.2312377373468,6.14080162812078e-16,3.79244023130233e-14,"-"
"187","JUN",-11.2663128801696,6.31393549013398e-16,3.87851213770957e-14,"-"
"188","KIF3B",-11.5804920924473,6.44884756086252e-16,3.94031446444829e-14,"-"
"189","MIR4482",-10.8939503213547,7.74897146582056e-16,4.70965265755983e-14,"-"
"190","SEMA4C",-10.4938534184503,8.75256236925775e-16,5.2916149439823e-14,"-"
"191","ZNF688",-11.4937404811827,8.83985866240537e-16,5.31641133272516e-14,"-"
"192","PDK3",-10.8624390458088,9.56274273075806e-16,5.72120967438634e-14,"-"
"193","GTSCR1",-9.62146332284547,1.01633835872956e-15,6.04905633509144e-14,"-"
"194","CAMTA1",-9.58556980853577,1.10367804461618e-15,6.43550746117061e-14,"-"
"195","LIMCH1",-9.58556980853577,1.10367804461618e-15,6.43550746117061e-14,"-"
"196","LOC101927359",-9.58556980853577,1.10367804461618e-15,6.43550746117061e-14,"-"
"197","LOC101928700",-9.58556980853577,1.10367804461618e-15,6.43550746117061e-14,"-"
"198","ZFHX2",-11.07010240946,1.30099723383933e-15,7.54775516419819e-14,"-"
"199","C9orf139",-10.9189312637016,1.63944168548012e-15,9.46345057342217e-14,"-"
"200","MARK2",-12.9951582393992,1.74722038451059e-15,1.00351602784365e-13,"-"
"201","ASXL1",-12.7082358765504,1.77251644866492e-15,1.01297992267731e-13,"-"
"202","SCAMP4",-11.3128775603069,1.83035585017243e-15,1.040856319353e-13,"-"
"203","ERAP2",-12.7148420883864,1.95264169354252e-15,1.1049258686563e-13,"-"
