"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"126","MIR1237",-12.3892589602298,5.09026882984763e-11,1.93550458104994e-09,"-"
"127","STX10",-12.3015803370737,5.05448988122153e-11,1.93550458104994e-09,"-"
"128","GSPT1",12.3281081091033,5.28608867888185e-11,1.99425954924379e-09,"+"
"129","LOC100506476",12.2728136248561,5.39804810049235e-11,2.02071118428508e-09,"+"
"130","LRRC20",12.173825103665,5.44064464450987e-11,2.02099022987217e-09,"+"
"131","OSM",-12.2681513817834,5.51056184193566e-11,2.03133611715323e-09,"-"
"132","FZD2",12.1992359266928,5.5693140365571e-11,2.0374407183738e-09,"+"
"133","USP2",-12.2870797342044,6.14137600829853e-11,2.22982742436643e-09,"-"
"134","PER3",12.1283758678951,6.4000176228682e-11,2.30639441050974e-09,"+"
"135","NDEL1",14.0890373717644,6.5663829712944e-11,2.34881950876894e-09,"+"
"136","GRB2",-14.6656192182332,6.65929756838823e-11,2.35384095200453e-09,"-"
"137","GAA",-15.0832919664793,6.71909415200368e-11,2.35384095200453e-09,"-"
"138","SPACA4",12.2623496048475,6.72665254455633e-11,2.35384095200453e-09,"+"
"139","BCL6",13.7054910300005,6.81576218275151e-11,2.36786443025231e-09,"+"
"140","CPNE5",-12.0272681782063,7.3219597542439e-11,2.52555311808884e-09,"-"
"141","SWAP70",-13.3465133623973,7.3956900709292e-11,2.53289272003667e-09,"-"
"142","SPATA13-AS1",13.951991002604,7.54984506956274e-11,2.56747900288158e-09,"+"
"143","H1FNT",13.6839080116819,7.61200386018524e-11,2.57051514970871e-09,"+"
"144","ERRFI1",12.0864845666476,7.94495497388511e-11,2.61065394921315e-09,"+"
"145","LOC102546229",12.1196697160817,7.87722664070213e-11,2.61065394921315e-09,"+"
"146","KMT2C",-12.148451059802,7.92179534192017e-11,2.61065394921315e-09,"-"
"147","LRRC37A3",12.2207908981727,7.94711390628147e-11,2.61065394921315e-09,"+"
"148","CD52",-12.058795425136,8.0095314563447e-11,2.61338022991139e-09,"-"
"149","TBC1D25",-11.977043729044,8.99888342131531e-11,2.91648376117662e-09,"-"
"150","ZZEF1",14.050484817063,9.18109000926124e-11,2.95390905401019e-09,"+"
"151","RAI1-AS1",-11.9964868983357,9.23670050021825e-11,2.95390905401019e-09,"-"
"152","ZNF598",-11.9182164192215,1.00032556594763e-10,3.17800799865863e-09,"-"
"153","RPEL1",11.8774562150807,1.05250657774302e-10,3.30035991163703e-09,"+"
"154","LOC101927539",-11.9286882164237,1.0492972289975e-10,3.30035991163703e-09,"-"
"155","GBGT1",11.9697218173703,1.06005565492664e-10,3.3025862952521e-09,"+"
"156","GLIPR2",-15.0633736185984,1.09381534628538e-10,3.38591942770005e-09,"-"
"157","VPS13D",13.3183654382456,1.17631541705468e-10,3.59520705630193e-09,"+"
"158","ZGLP1",-11.8064603101092,1.17381687867898e-10,3.59520705630193e-09,"-"
"159","MILR1",11.894915859854,1.19144070058724e-10,3.61853279442502e-09,"+"
"160","GDE1",11.8107141237557,1.22802626235824e-10,3.68331603784344e-09,"+"
"161","FLOT2",-11.7616832789365,1.22226597770343e-10,3.68331603784344e-09,"-"
"162","MIR4323",11.756475072569,1.26732938204699e-10,3.77329366583543e-09,"+"
"163","MIR8085",11.92091331215,1.27365265589392e-10,3.77329366583543e-09,"+"
"164","MTO1",12.0137944630014,1.2955090099445e-10,3.81464207867194e-09,"+"
"165","H2AFV",11.8179984548267,1.31586288968433e-10,3.85109205714281e-09,"+"
"166","MIR197",11.7438181393761,1.37314805904686e-10,3.98609294402559e-09,"+"
"167","EML4",14.0736372178807,1.37849973421469e-10,3.98609294402559e-09,"+"
"168","SPATC1",-11.6698960353223,1.40829290962944e-10,4.04800384559558e-09,"-"
"169","ELMO1-AS1",12.708067959816,1.42702454942976e-10,4.07757488118124e-09,"+"
"170","MIR5093",11.7823945800856,1.44899190157709e-10,4.11598934865634e-09,"+"
"171","IER5L",11.7728882070211,1.45819672311313e-10,4.1179134362066e-09,"+"
"172","CLBA1",11.8765359244985,1.46897416734302e-10,4.12423038029037e-09,"+"
"173","COLGALT1",12.305155267468,1.52446568912461e-10,4.25528601894956e-09,"+"
"174","SNCA-AS1",-11.6928133627978,1.56041020309979e-10,4.33058670733845e-09,"-"
"175","DOK2",-11.6955753503618,1.57421891661016e-10,4.34394465617742e-09,"-"
"176","CD1D",-11.7601897748616,1.59919629005348e-10,4.38779482083423e-09,"-"
"177","LOC100507006",-11.6394341258665,1.60842523925923e-10,4.38818388722193e-09,"-"
"178","HTT-AS",11.6318150170961,1.66688678827875e-10,4.44585691944094e-09,"+"
"179","CEMIP2",-14.0009742707105,1.67559734797733e-10,4.44585691944094e-09,"-"
"180","ADPGK-AS1",11.6318150170961,1.66688678827875e-10,4.44585691944094e-09,"+"
"181","SMCR2",11.6928282479159,1.64933010857821e-10,4.44585691944094e-09,"+"
"182","STAT5B",-11.693093221697,1.6615369544566e-10,4.44585691944094e-09,"-"
"183","KCNIP2",-14.1916084914295,1.71374415289079e-10,4.52222432475936e-09,"-"
"184","CLIP4",-12.7785665120182,1.77807536538245e-10,4.66648148882166e-09,"-"
"185","LOC151484",11.6723791161059,1.82584948393913e-10,4.68990806273514e-09,"+"
"186","LINC00484",13.8025060394852,1.80651238293747e-10,4.68990806273514e-09,"+"
"187","FAM192A",11.6723791161059,1.82584948393913e-10,4.68990806273514e-09,"+"
"188","GLA",11.6542817215539,1.82164379090325e-10,4.68990806273514e-09,"+"
"189","BRF1",11.6380472049435,1.85819038686816e-10,4.74772559692399e-09,"+"
"190","INTS3",15.3811377094361,1.88553806310032e-10,4.79224384563761e-09,"+"
"191","ARHGEF2",-14.6372700192172,1.90936589635818e-10,4.8022541216217e-09,"-"
"192","SOX14",-11.6331494514029,1.90877504769761e-10,4.8022541216217e-09,"-"
"193","F12",11.7274302754031,1.96715010890379e-10,4.92195226730383e-09,"+"
"194","ABTB1",-13.9343991618239,2.06820258376256e-10,5.14811869947908e-09,"-"
"195","LINC02363",-14.4828961057252,2.10307126164794e-10,5.18149547066221e-09,"-"
"196","PKM",11.5130277755881,2.10025871002317e-10,5.18149547066221e-09,"+"
"197","SNX11",11.5346867311013,2.12560798243787e-10,5.21043702903172e-09,"+"
"198","RHBG",11.5654239631204,2.19949341930994e-10,5.31067686092386e-09,"+"
"199","ITGA5",-11.5142293544212,2.1972532824574e-10,5.31067686092386e-09,"-"
"200","ISOC2",11.5654239631204,2.19949341930994e-10,5.31067686092386e-09,"+"
"201","EMID1",11.5014012571714,2.21104351404004e-10,5.31200454193998e-09,"+"
"202","PDIK1L",11.4838932624938,2.29249721315704e-10,5.48043021897789e-09,"+"
"203","KIF9",-11.4239183476395,2.44151532005064e-10,5.80791994114509e-09,"-"
"204","UBR5-AS1",11.6504183205631,2.47365360838223e-10,5.81924796801478e-09,"+"
