"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"140","CHAF1B",-11.9098164440432,3.95206677612817e-12,6.44469174992901e-11,"-"
"141","GSDMD",11.848761487603,4.05998152900932e-12,6.57371477356615e-11,"+"
"142","KIR3DS1",-11.7727424593733,4.17727151012357e-12,6.71599356169867e-11,"-"
"143","MIR4493",-11.7477834494093,4.40802078398784e-12,7.03742059429667e-11,"-"
"144","IGF2R",-15.327180184485,4.58192494765396e-12,7.26426017742638e-11,"-"
"145","THEMIS2",-11.7510662384579,5.43063716650586e-12,8.49187989803622e-11,"-"
"146","MIR1537",11.7727495198662,5.42035827982068e-12,8.49187989803622e-11,"+"
"147","ZNF583",-11.6682664353123,5.4962585002243e-12,8.5360259564708e-11,"-"
"148","ACTR5",11.6455090490598,5.81283485054866e-12,8.90651138510241e-11,"+"
"149","TMPRSS6",-12.7051090582914,5.80482396073379e-12,8.90651138510241e-11,"-"
"150","FAR2",-11.5875558232573,6.99326273934127e-12,1.05036966012606e-10,"-"
"151","OAZ2",-11.6191201757886,6.93200522328723e-12,1.05036966012606e-10,"-"
"152","CTRB2",-11.592533096015,6.9503763635139e-12,1.05036966012606e-10,"-"
"153","MACF1",-11.6110447397076,7.08248369872339e-12,1.05681766563304e-10,"-"
"154","DCTN1",-11.6551073243452,7.38882771472628e-12,1.0953697190078e-10,"-"
"155","CDC42BPG",-11.5474625354208,7.85579016898568e-12,1.15708186811576e-10,"-"
"156","HIC1",-11.5055779465759,7.9616185459443e-12,1.16515225258916e-10,"-"
"157","TGOLN2",-11.596613534545,8.35924329718018e-12,1.21555111130333e-10,"-"
"158","LOC101928126",-11.4845937979452,8.76497632330417e-12,1.26648360418376e-10,"-"
"159","RELT",-11.4593761836642,9.07266510104278e-12,1.30269776262143e-10,"-"
"160","ZNF709",-11.4659161793684,9.47709081656933e-12,1.35226239588924e-10,"-"
"161","AP3M1",11.4513721959347,9.68923454250479e-12,1.37394549444338e-10,"+"
"162","FAM222A",11.444089486206,1.0137804387939e-11,1.42867947022622e-10,"+"
"163","LOC339803",-11.4469619093452,1.04802927635048e-11,1.45893343774887e-10,"-"
"164","NGFR",-11.4140493551662,1.04610386322016e-11,1.45893343774887e-10,"-"
"165","MDM1",-11.4504642445777,1.06784667283882e-11,1.47751148732789e-10,"-"
"166","ARMC2-AS1",-11.3786244655461,1.09041808699341e-11,1.49965330879876e-10,"-"
"167","LSM14A",-11.411205534955,1.15516957444568e-11,1.57919289728113e-10,"-"
