"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1295","PLCH2",7.87870576566887,5.85078098807177e-10,4.67294422854257e-09,"+"
"1296","MUC4",10.6807879411907,5.86056838336742e-10,4.67714959792972e-09,"+"
"1297","LINC01139",-8.15641625520295,5.99430484652649e-10,4.78019236913057e-09,"-"
"1298","LINC01310",-9.51372599542121,6.01705466514212e-10,4.79463762723921e-09,"-"
"1299","LOC100507377",-9.89883746022075,6.05246525460322e-10,4.81914150333804e-09,"-"
"1300","RAP1GAP",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1301","WARS2",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1302","CRNN",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1303","LINC01732",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1304","CACNA1S",-7.9927425766084,6.5879852759409e-10,5.05288435862829e-09,"-"
"1305","LOC100129175",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1306","GRM7",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1307","NUP210",-7.9927425766084,6.5879852759409e-10,5.05288435862829e-09,"-"
"1308","CSPG5",-7.9927425766084,6.5879852759409e-10,5.05288435862829e-09,"-"
"1309","MIR4795",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1310","TRIM42",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1311","MME",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1312","KLHL6-AS1",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1313","MIR4452",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1314","ACTBL2",-10.5943226326807,6.5127009207276e-10,5.05288435862829e-09,"-"
"1315","MIR585",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1316","PHF14",-7.99276364232508,6.59029391838882e-10,5.05288435862829e-09,"-"
"1317","PPP1R9A",-9.89059721387722,6.4852927024816e-10,5.05288435862829e-09,"-"
"1318","ARPC1A",-7.9927425766084,6.5879852759409e-10,5.05288435862829e-09,"-"
