"","Feature","p value","adjusted p value"
"607","PARP6",8.06128299621503e-20,1.3943665924183e-17
"92","C1orf100",1.12554252761365e-19,1.93275226643918e-17
"619","STUB1",1.15748186155996e-19,1.97329839376881e-17
"432","LINC00595",4.17863748603287e-19,7.07294089332293e-17
"615","ARRDC4",5.01462685209221e-19,8.42777393716518e-17
"375","ST3GAL1",5.30367476425466e-19,8.85078738651709e-17
"839","SYS1-DBNDD2",6.76498847492859e-19,1.12104847475792e-16
"110","LOC339803",8.6519107179764e-19,1.42378005752699e-16
"616","MEF2A",1.00378268013271e-18,1.64045780490378e-16
"622","NOXO1",1.20805467046484e-18,1.96077202232914e-16
"78","LOC101929224",2.29766867266765e-18,3.70393568273505e-16
"838","L3MBTL1",2.49050082523415e-18,3.987662030782e-16
"715","C17orf77",2.65304929703316e-18,4.21941672428153e-16
"347","HILPDA",3.31920282307187e-18,5.24367661988894e-16
"661","CRISPLD2",3.48311608339639e-18,5.46618555153935e-16
"233","SLC1A3",3.84968604098606e-18,6.00171119166096e-16
"555","IFT88",4.03858601021538e-18,6.25505703817476e-16
"802","HAS1",9.32366101128009e-18,1.43469347392405e-15
"887","CXorf40B",1.09811670898168e-17,1.67884333243477e-15
"542","DAO",1.22304196380031e-17,1.8578477830882e-15
"312","GPR146",1.24581146015542e-17,1.8803817943505e-15
"285","HLA-DMA",2.91639780779902e-17,4.37404296527933e-15
"224","ANXA5",3.10970098145336e-17,4.63462793443398e-15
"42","HIVEP3",3.27853809577797e-17,4.85571982847816e-15
"536","CTDSP2",3.63589058931137e-17,5.35153411769636e-15
"270","NQO2",4.35999279240335e-17,6.3777005679989e-15
"302","HEY2",4.65315680223792e-17,6.72486025191476e-15
"879","PRDX4",4.65407891848766e-17,6.72486025191476e-15
"34","LINC01226",5.29156965453999e-17,7.59965612749297e-15
"75","MPZL1",7.33745307148627e-17,1.04744352671693e-14
"61","LOC105371433",8.90282398700241e-17,1.26329473065866e-14
"764","MIR6794",8.98599016813416e-17,1.26750600603735e-14
"745","BTBD2",1.12640447462969e-16,1.57943235711833e-14
"359","MIR4660",1.1597034276849e-16,1.61655836034406e-14
"4","MORN1",1.64833351561606e-16,2.28424323506163e-14
"362","EXTL3",1.92381621706043e-16,2.65050423812099e-14
"651","CDH5",2.64366029768724e-16,3.62120335689563e-14
"294","PAQR8",2.92987619042118e-16,3.99018828071326e-14
"280","PPP1R18",3.46452107420567e-16,4.69135747974011e-14
"442","CACUL1",3.63561182630037e-16,4.89506212771818e-14
"39","STK40",4.7131960216408e-16,6.31009074151537e-14
"45","BTBD19",6.39473980664991e-16,8.51326680888667e-14
"665","ZNF778",1.2060242159152e-15,1.59660088516997e-13
"433","PPIF",1.24711791309615e-15,1.64183073259108e-13
"334","BRI3",1.35589248731547e-15,1.77517040176325e-13
"485","CDC42EP2",1.64529082814707e-15,2.14222289860445e-13
"304","LINC01010",1.71744427374016e-15,2.22394956037272e-13
"636","ATXN2L",1.8253312902625e-15,2.35080845572557e-13
"676","ZNF18",2.03425933929792e-15,2.6057212736942e-13
"301","FAM184A",2.52987719115618e-15,3.22314515047462e-13
"21","ARHGEF19",4.38277736586586e-15,5.55393985234884e-13
"474","PRG2",4.70679007327543e-15,5.93280874289404e-13
"153","UBP1",5.16648313927291e-15,6.4777857646217e-13
"140","GMPPA",5.22462613547236e-15,6.51620871222572e-13
"410","GPSM1",6.22327526509348e-15,7.72109706580735e-13
"516","TMEM218",7.54549565032291e-15,9.31279220967198e-13
"183","DNAJC13",9.54288387739552e-15,1.17169802716395e-12
"70","TAGLN2",1.48162230999569e-14,1.80979401443134e-12
"508","ALG9",2.27883701341208e-14,2.76931285676031e-12
"625","ZSCAN10",2.40656434958253e-14,2.90960996898251e-12
"256","FCHSD1",3.36361770168689e-14,4.04607353689716e-12
"609","CHRNA5",3.49538681183074e-14,4.18334248888651e-12
"794","MIR6088",4.56977843007954e-14,5.44171052550727e-12
"267","STK10",4.71582042285215e-14,5.58753982801638e-12
"495","NADSYN1",4.90734883410456e-14,5.78554454337193e-12
"369","FLJ42969",5.00544712473813e-14,5.8719841839069e-12
"133","BARD1",6.39710346704489e-14,7.46759413096369e-12
"821","SPEF1",7.91112866837512e-14,9.18970666933751e-12
"758","ICAM3",1.05218201029959e-13,1.2162710779546e-11
