"","Feature","p value","adjusted p value"
"412","ENPP5",3.65687715055197e-05,0.000921883168474786
"1067","CEP250",3.7180644172646e-05,0.000936312141295634
"348","LOC101929719",3.74829482707229e-05,0.000942922956657452
"145","UTAT33",3.792349315352e-05,0.000952993655629865
"85","UBE2T",3.88816484448405e-05,0.000976036465251468
"570","SUSD1",3.91515630767791e-05,0.000980734239144222
"849","SAXO2",3.91515630767791e-05,0.000980734239144222
"711","PA2G4",4.04433870405251e-05,0.00101202422671523
"418","MANEA",4.07537106324291e-05,0.00101871379837202
"426","ARMC2-AS1",4.30529041774e-05,0.00107437993846682
"992","STK11",4.30713145775193e-05,0.00107437993846682
"508","PCM1",4.32684721808032e-05,0.00107816297083964
"761","DLEU1-AS1",4.36608792686126e-05,0.00108679816809697
"428","FYN",4.39357575203318e-05,0.00109249280793211
"343","CAMLG",4.44092252091346e-05,0.00110195330867106
"528","UBR5",4.44092252091346e-05,0.00110195330867106
"421","PRDM13",4.49420206481771e-05,0.00111400738838897
"140","LINC02611",4.57335381642066e-05,0.00113244268952686
"75","XCL2",4.59877508591588e-05,0.00113754878090761
"1089","UBASH3A",4.75998861111377e-05,0.00117619864564716
"183","ATG4B",4.94729142432394e-05,0.00122120796752296
"1003","MYO1F",5.17668213619573e-05,0.00127527230253994
"144","RNF149",5.17707707745042e-05,0.00127527230253994
"305","MIR4277",5.19449579740003e-05,0.00127823433967797
"592","PRKCQ",5.26573712152453e-05,0.00129442087726936
"153","CCDC115",5.40275247554008e-05,0.00132672565194687
"678","MIR4492",5.5646957735637e-05,0.00136507863091241
"453","MIR3692",5.80653810551484e-05,0.00142293209396469
"104","MIR548S",5.92592466773532e-05,0.00145068839722442
"1077","LOC101927932",5.98193484149506e-05,0.00146288864746036
"937","KANSL1",6.00859406355545e-05,0.00146789333529973
"449","SYNE1-AS1",6.07637077181054e-05,0.00148292232934701
"523","PRDM14",6.14205055796561e-05,0.00149740917769662
"723","E2F7",6.44983393488523e-05,0.0015708295452721
"975","CDH2",6.64128972935356e-05,0.00161579715314673
"284","ZGRF1",7.00975141407986e-05,0.00170369312060975
"129","EMX1",7.08947443436119e-05,0.00172130405400673
"226","MIR568",7.17801345643489e-05,0.00174101724541594
"756","LCP1",7.39946257524868e-05,0.00179243757715553
"462","ADAP1",7.40514152861231e-05,0.00179243757715553
"199","LTF",7.42096724318281e-05,0.00179443531389493
"532","LOC101927543",7.51081680138668e-05,0.0018140411075557
"407","PRPH2",7.53266848054525e-05,0.0018140411075557
"832","TRPM7",7.53266848054525e-05,0.0018140411075557
"876","ZNF48",7.53266848054525e-05,0.0018140411075557
"209","GLYCTK",7.56331834392858e-05,0.00181957314513782
"391","ABCF1",7.68997548116851e-05,0.00184816783952586
"713","SMARCC2",7.75307287779553e-05,0.0018595604047077
"714","COQ10A",7.75307287779553e-05,0.0018595604047077
"734","MLEC",7.76636999196331e-05,0.00186086622547578
"193","SATB1-AS1",8.22389621658987e-05,0.0019685017034801
"201","ATRIP",8.25827570194376e-05,0.00197473621906116
"687","NINJ2",8.35252139881956e-05,0.00199525906842568
"795","CDKN3",8.51625004656592e-05,0.00203232202772883
"685","B3GAT1",8.59179301268023e-05,0.00204828691168494
"1088","ABCG1",8.60834665200969e-05,0.00205017075992637
"127","ARHGAP25",8.70268791869182e-05,0.00207055818884779
"982","MIR4744",9.04629271137305e-05,0.00215015043511943
"928","RARA",9.3224160074244e-05,0.00221289027764945
"571","AKNA",9.32893356699921e-05,0.00221289027764945
"423","LOC105377924",9.40085115399522e-05,0.00222771969796225
"677","MPZL3",9.77336168660626e-05,0.00231367983903605
"1020","UQCRFS1",9.88830997636136e-05,0.00233855570369097
"746","FGF9",9.97445884842278e-05,0.00235657777997083
"868","METTL9",0.000100745001188793,0.00237784292148488
"179","AGAP1",0.000101490820024255,0.00239306264887043
"725","DUSP6",0.000101937757826975,0.00240121177656643
"587","ZMYND11",0.0001028284282234,0.00241978675631569
"431","HDDC2",0.00010306148947357,0.00242286519449919
"875","LOC101928595",0.000107929569597549,0.00253411787688523
"966","NARF",0.000108007724845089,0.00253411787688523
"657","CCDC85B",0.000109046224103358,0.00255595289077871
"987","TSHZ1",0.000109640234450738,0.0025673365966197
"227","IGSF11-AS1",0.000112441181298781,0.00263032445531807
"743","PGAM5",0.000113415583867017,0.00265050206202832
"11","SPATA21",0.000115833201730193,0.00269371872561372
"245","KNG1",0.000115833201730193,0.00269371872561372
"333","GPR150",0.000115833201730193,0.00269371872561372
"569","ECPAS",0.000115833201730193,0.00269371872561372
"884","PLLP",0.000115833201730193,0.00269371872561372
"609","HK1",0.000116411750759546,0.00270451888014604
"5","CALML6",0.00011656941641919,0.00270552934464795
"691","GAPDH",0.000119205549895941,0.00276400578853631
"244","FNDC3B",0.000119360253222442,0.00276488750792982
"420","MMS22L",0.000121029117610624,0.00280080761720602
"448","FBXO30",0.000123277769442465,0.00285006175851522
"593","GATA3",0.000124688937182801,0.00287987694387997
"544","C8orf82",0.000126440923874171,0.00291749812370617
"384","CDKAL1",0.000126757426840458,0.00292195597649642
"972","PTPN2",0.000127201874063225,0.00292935161290209
"311","ARL15",0.000130310058456009,0.00299510907393991
"389","MOG",0.000130310058456009,0.00299510907393991
"309","EMB",0.000131384462877022,0.0030168775356558
"690","RHNO1",0.00013204016003088,0.0030288173700461
"215","PCNP",0.000132247776138523,0.0030288173700461
"892","MEAK7",0.000132287883613863,0.0030288173700461
"57","CAPZA1",0.000132838320612709,0.00303555417893865
"625","GOT1",0.000132838320612709,0.00303555417893865
"811","CHGA",0.000136494748294699,0.00310226334620527
"17","TCEA3",0.000136543050601008,0.00310226334620527
"189","BHLHE40",0.000136543050601008,0.00310226334620527
"629","CALHM2",0.000136543050601008,0.00310226334620527
"985","KDSR",0.000136543050601008,0.00310226334620527
"1090","PDE9A",0.000136543050601008,0.00310226334620527
"904","CAMKK1",0.000136876735113034,0.00310686589269498
"942","ABI3",0.000139970071721098,0.003174039033086
"1049","MYADM",0.000144396203024237,0.00327127803352328
"771","GAS6-DT",0.000146236576615937,0.00330867537575646
"856","ADAMTS17",0.00014632619292707,0.00330867537575646
"168","SLC39A10",0.000148164967834669,0.0033470593353462
"335","MIR548P",0.000148627301532199,0.00335430587086527
"363","ITK",0.000151657773192132,0.00341876038258204
"696","MAGOHB",0.000151771782186619,0.00341876038258204
"29","CTPS1",0.000152698735801181,0.00343637411422657
"147","ACOXL",0.000162189282815466,0.00364536798606124
"261","ZNF518B",0.000162293253377837,0.00364536798606124
"219","PLCXD2",0.000162836943595765,0.00365380934547945
"1111","POLR3H",0.000162977443481107,0.00365380934547945
"805","ALDH6A1",0.000165125959533747,0.00369847813144725
"574","ZNF79",0.00016865641364923,0.00377398586803192
"777","MMP14",0.000169969623371761,0.00379978317456662
"250","ZDHHC19",0.000171613980941544,0.00383292790421466
"550","DMAC1",0.000175410494560366,0.00391403247608003
"813","PPP4R4",0.000177707321182213,0.00396155257766218
"156","ACVR2A",0.000182719771192304,0.00406946467851882
"251","POLN",0.000185097568995445,0.00411855126054936
"120","SPTBN1",0.000188442841736782,0.00418905255219187
"355","HMHB1",0.000191819701081456,0.00426012320199369
"908","NLGN2",0.000193087764357982,0.00428427036703286
"883","MT1X",0.00019361672814198,0.00429198840671703
"749","PAN3",0.000196365990439998,0.00434886436958565
"372","IRF4",0.000198636867059608,0.00439504933586511
"579","FNBP1",0.000200943540896843,0.00444193944835119
"631","XPNPEP1",0.000205832684707715,0.00454577551679284
"67","PMF1-BGLAP",0.000206649734722509,0.00455957054350027
"672","BIRC3",0.000206989418405847,0.00456281697484963
"131","TMSB10",0.000208326742050715,0.00458802863046077
"344","CDC23",0.000223613203005575,0.00491099357889075
