"","Feature","p value","adjusted p value"
"324","MRPL1",1.13690028922895e-05,0.000257563347551228
"386","CLTB",1.14521272744201e-05,0.000259198720173766
"275","OR5K4",1.14686937496962e-05,0.000259325988345945
"702","MIR483",1.16265091066038e-05,0.00026264383822611
"846","ALG5",1.17923477747293e-05,0.000266136443064534
"941","LYSMD2",1.18928191921863e-05,0.000267893665776844
"1268","MIR4326",1.18928191921863e-05,0.000267893665776844
"832","RILPL2",1.22872147156313e-05,0.0002765148405663
"680","NEURL1-AS1",1.25522168039232e-05,0.000281957105419865
"1006","CPNE2",1.25528440822871e-05,0.000281957105419865
"33","TMEM39B",1.25938222427214e-05,0.000282609664475159
"2","MRPL20",1.33155617858515e-05,0.000298523053584978
"301","ST6GAL1",1.35127135507145e-05,0.000302656685265862
"44","CITED4",1.41158380383514e-05,0.000315866868739201
"165","XDH",1.43573785980085e-05,0.000320968679846234
"291","MBNL1-AS1",1.45954902796514e-05,0.000325732730077291
"640","MIR5699",1.45979727114016e-05,0.000325732730077291
"57","BCL10",1.47982500427631e-05,0.000328654293592649
"280","CCDC58",1.47982500427631e-05,0.000328654293592649
"327","MRPS18C",1.47982500427631e-05,0.000328654293592649
"552","LOC101927141",1.47982500427631e-05,0.000328654293592649
"1003","ITFG1-AS1",1.47982500427631e-05,0.000328654293592649
"77","PEX11B",1.52695933694858e-05,0.000338804825914518
"256","NCKIPSD",1.54851340454912e-05,0.000343265876029939
"1181","KLF2",1.56204646402245e-05,0.000345942196803177
"1294","IL17RA",1.56881150842946e-05,0.000347116025352502
"952","DAPK2",1.58369869498887e-05,0.000350083096783127
"737","TM7SF2",1.61051589314349e-05,0.000355679358059844
"1238","POLR3F",1.63051355374621e-05,0.000359760518464842
"513","GIMAP8",1.67255717442514e-05,0.000368693835928862
"1021","LDHD",1.6760761942484e-05,0.000369126185642233
"922","CRIP2",1.68790751291904e-05,0.000371386669764554
"736","TMEM262",1.72069415530043e-05,0.00037789888228132
"868","OSGEP",1.72069415530043e-05,0.00037789888228132
"497","MIR548O",1.76222693144076e-05,0.000386661959206959
"457","TCP10L2",1.79685781807e-05,0.000393895834549535
"798","ITGB7",1.86447126516423e-05,0.000408339885125664
"1134","LINC01255",1.86832236766658e-05,0.000408805495351753
"1352","UBA1",1.90007880513335e-05,0.000414987718389355
"1360","NHSL2",1.90007880513335e-05,0.000414987718389355
"1101","MTMR4",1.98981850446474e-05,0.000434187192452127
"858","LINC00392",1.99429077558932e-05,0.000434762727774978
"415","RAB44",2.00111616089913e-05,0.000435849721184068
"67","KCNA2",2.0092314175551e-05,0.00043721539854732
"657","ARID5B",2.0935060684625e-05,0.000455135901874825
"961","PIAS1",2.12460157361768e-05,0.000461472809257727
"424","TRERF1",2.144318058795e-05,0.000465328800725872
"876","EMC9",2.16048271563804e-05,0.000468307954843561
"848","LINC00548",2.16199899818059e-05,0.000468307954843561
"712","KCNJ11",2.17431155584634e-05,0.000470544848756992
"61","GFI1",2.20732879020488e-05,0.000477254291436907
"579","MIR31HG",2.25861612411591e-05,0.000487501303943419
"289","RASA2",2.258836273494e-05,0.000487501303943419
"1234","CSNK2A1",2.3193741265899e-05,0.00050011108896998
"1321","RPS19BP1",2.32574192420569e-05,0.00050102823979911
"625","FAM78A",2.36494305815922e-05,0.000509010496359665
"1049","MIR33B",2.41387106512034e-05,0.000519069896825378
"214","HNRNPA3",2.41959793627306e-05,0.000519829667233568
"833","TMED2",2.47575145358854e-05,0.000531302251854409
"466","FAM220A",2.47748233235904e-05,0.000531302251854409
"268","PRKCD",2.54308632604946e-05,0.000544878089225987
"147","CHRM3-AS2",2.57519485838179e-05,0.000551259192042216
"329","GPRIN3",2.5794446537368e-05,0.000551670577252717
"1000","FBRS",2.62400857722441e-05,0.000560695502745598
"308","POLN",2.69446453001392e-05,0.000575231765475133
"1024","PLCG2",2.73722266918803e-05,0.000583834073733111
"112","MIR921",2.7544439200188e-05,0.000586978935006164
"400","HLA-E",2.77421012793842e-05,0.000590659994624949
"1239","VSX1",2.81090016031581e-05,0.000597934480242403
"381","ADAM19",2.94204664056676e-05,0.000625270665843143
"1110","LINC00673",2.96052636933877e-05,0.00062863434923137
"822","PXN",3.03314112632321e-05,0.000643476681024899
"124","CYB5R1",3.10153106103969e-05,0.000657396972750068
"473","BBS9",3.23904898826929e-05,0.000685931580652522
"580","DNAJA1",3.2721277507766e-05,0.000692317958126367
"747","PLEKHB1",3.35234608803402e-05,0.000708657852347388
"725","OR10V1",3.46149438344464e-05,0.000731078720182599
"735","CDCA5",3.61098217448273e-05,0.000761971901947615
"1332","SERHL2",3.78015702119934e-05,0.000796960684442712
"311","OTOP1",3.78618656191189e-05,0.000797522337401121
"480","UPP1",3.79198244935719e-05,0.000798033819737276
"508","TMEM139",3.88694234620562e-05,0.000817292571233669
"335","LEF1-AS1",3.96309291453815e-05,0.000832565716274916
"11","PIK3CD-AS2",4.15945369296748e-05,0.000873043172384856
