"","Feature","p value","adjusted p value"
"43","EFNA3",7.92800870339223e-14,5.71033502262266e-12
"702","RBM38",8.50595569014539e-14,6.10804945422349e-12
"362","TIGD3",9.5458400894294e-14,6.83407167973439e-12
"708","TCP10L",9.80962848154666e-14,7.00177006407263e-12
"219","GOPC",1.30845515412261e-13,9.31124978595903e-12
"581","MIR4319",1.37992299016971e-13,9.79042967007535e-12
"64","CDK18",1.83852681015988e-13,1.30052447224951e-11
"516","PFN1",2.60630775984676e-13,1.83814508884192e-11
"21","GJB3",2.73610062302893e-13,1.91826557585552e-11
"279","MIR4540",2.73610062302893e-13,1.91826557585552e-11
"175","LINC02113",2.79647812404908e-13,1.95481245149236e-11
"169","PTGER4",2.96266625033869e-13,2.06489123924341e-11
"267","LINC01030",3.47496975401247e-13,2.41484921586022e-11
"371","PDE2A",3.97474033905892e-13,2.75407666124793e-11
"425","TPP2",4.01829066628136e-13,2.76806493950202e-11
"586","MIDN",4.01829066628136e-13,2.76806493950202e-11
"24","CDKN2C",4.06422373453426e-13,2.78352340570111e-11
"511","DPEP1",4.06422373453426e-13,2.78352340570111e-11
"673","EPN1",4.41601146439017e-13,3.01574131618599e-11
"489","METTL9",5.30513431487922e-13,3.61252206493371e-11
"196","NEDD9",5.51044108432327e-13,3.74157370702603e-11
"37","SEMA6C",6.88209777019569e-13,4.65957345315221e-11
"116","INPP5D",7.15024654846684e-13,4.82733311849056e-11
"331","FAM149B1",7.4083110303225e-13,4.95999951548991e-11
"629","USF2",7.4083110303225e-13,4.95999951548991e-11
"414","SPATA13",7.4095447882999e-13,4.95999951548991e-11
"278","SPAG8",7.55528323349481e-13,5.04331117701765e-11
"688","MYL9",7.7254883876529e-13,5.14244096410704e-11
"12","ZBTB40",9.99999634493099e-13,6.63781269988318e-11
"400","FBXW8",1.03194156685063e-12,6.83070371778194e-11
"671","KMT5C",1.19904504697337e-12,7.91469929752870e-11
"568","NDUFAF8",1.20844580661202e-12,7.95459452202363e-11
"605","ICAM5",1.23671198787425e-12,8.1181063647247e-11
"389","MUCL1",1.35353941736398e-12,8.8604485009045e-11
"428","LAMP1",1.46657300027275e-12,9.57393399103674e-11
"15","HMGN2",2.80206170446213e-12,1.8191905811134e-10
"631","ZBTB32",2.80206170446213e-12,1.8191905811134e-10
"669","RDH13",3.27604859803861e-12,2.1211072029432e-10
"723","TMEM191A",4.83343087255367e-12,3.1209212911963e-10
"326","SRGN",6.02006829842854e-12,3.87656408880058e-10
"469","LOC101929679",6.04317815367814e-12,3.88089953137428e-10
"507","KLHDC4",7.85409646184902e-12,5.03023037449827e-10
"359","PATL1",8.53257241538861e-12,5.45003688753272e-10
"731","TMEM184B",9.14752369488504e-12,5.82712013434653e-10
"87","WBP1",1.02045690872329e-11,6.48304755121068e-10
"520","SAT2",1.09195857949083e-11,6.88195278143461e-10
"539","RPL23",1.09195857949083e-11,6.88195278143461e-10
"622","ZNF14",1.09195857949083e-11,6.88195278143461e-10
"68","LINC01744",1.31134952503945e-11,8.24271875195219e-10
"719","S100B",1.53450553214184e-11,9.6198882526892e-10
"306","LINC01451",1.90451661162891e-11,1.19080026769842e-09
"573","CD7",2.12447210603752e-11,1.32483198675713e-09
"449","RIN3",2.17222586567877e-11,1.3510560718895e-09
"439","ZBTB1",2.24635349578973e-11,1.39350363323898e-09
"554","PRKCA-AS1",2.32197145033229e-11,1.43665163077087e-09
"639","ZFP36",2.66540631602835e-11,1.64484722580531e-09
"705","ZNF831",2.73427691719861e-11,1.68296519758066e-09
"618","PGLS",3.02938065984518e-11,1.85977288850651e-09
"345","PWWP2B",3.35922192270542e-11,2.0569375168566e-09
"551","TSPOAP1",3.45440675378308e-11,2.10977002176282e-09
"214","PNRC1",3.68557006006991e-11,2.23940906957633e-09
"560","SUMO2",3.68557006006991e-11,2.23940906957633e-09
"232","CARD11",3.74906598512515e-11,2.27216410868314e-09
"75","LINC01819",3.76608479597228e-11,2.27665590332028e-09
"17","XKR8",4.10569170254739e-11,2.47563807316197e-09
"99","RNU4ATAC",4.51910110326412e-11,2.71799844781852e-09
"546","STH",4.97493001010491e-11,2.98458016327737e-09
"624","ZNF682",5.05083315332917e-11,3.0224644756172e-09
"213","ENPP5",5.13070560470734e-11,3.062527222034e-09
"395","CNOT2",5.30984085481732e-11,3.16148991800517e-09
"85","BOLA3",5.64637479724994e-11,3.35343718221634e-09
"131","CTNNB1",5.77033625344476e-11,3.41849145494701e-09
"490","PRKCB",8.28963243320977e-11,4.89873864762523e-09
"176","SLCO4C1",8.36295362316304e-11,4.92977393054962e-09
"129","MIR3714",8.43882042349618e-11,4.96215204902206e-09
"56","C1orf21",1.02441547542258e-10,6.00880532700222e-09
"682","NXT1",1.04021314252881e-10,6.08640267617411e-09
"630","ETV2",1.26010197320394e-10,7.35483656625954e-09
"317","PIP4K2A",1.37334989559574e-10,7.99613574347232e-09
"199","HIST1H2BL",1.47295668117841e-10,8.53414534813808e-09
"477","NTHL1",1.47295668117841e-10,8.53414534813808e-09
"684","FAM182B",1.602271186002e-10,9.26073665724129e-09
"80","LINC02579",1.66388196688437e-10,9.59343332585375e-09
"71","EIPR1",2.27299251571509e-10,1.30092643867241e-08
"418","LINC00284",2.27299251571509e-10,1.30092643867241e-08
"161","SLC9B1",2.27828194306896e-10,1.30092643867241e-08
"699","TMEM189",2.27828194306896e-10,1.30092643867241e-08
"303","GTF3C5",2.58771429817179e-10,1.47406407989848e-08
"7","ERRFI1",2.68950985903228e-10,1.52837686161842e-08
"202","NCR3",2.75247839189664e-10,1.56041819265011e-08
"401","GCN1",3.48803450841072e-10,1.97269579345606e-08
